course_id,title,platform,provider,category,subcategory,skills,difficulty,duration_hours,rating,enrolled,price_usd,certificate,description,url_slug,prerequisites,learning_outcomes
C001,Machine Learning Specialization,Coursera,DeepLearning.AI & Stanford,AI/ML,Machine Learning,"python,machine learning,supervised learning,unsupervised learning,neural networks",Beginner,90,4.9,1200000,79,Yes,"Comprehensive ML course covering supervised/unsupervised learning and best practices",ml-specialization,"python basics","Build ML models, implement algorithms, apply best practices"
C002,Deep Learning Specialization,Coursera,DeepLearning.AI,AI/ML,Deep Learning,"python,deep learning,neural networks,CNN,RNN,transformers",Intermediate,120,4.9,900000,79,Yes,"Master deep learning techniques from neural networks to transformers",deep-learning-spec,"machine learning,python","Build deep neural networks, CNNs, RNNs, implement transformers"
C003,TensorFlow Developer Certificate,Coursera,DeepLearning.AI,AI/ML,Deep Learning,"tensorflow,python,deep learning,computer vision,NLP",Intermediate,64,4.7,400000,49,Yes,"Prepare for TensorFlow Developer Certificate exam with hands-on projects",tensorflow-dev,"deep learning basics","Deploy TensorFlow models, build CV and NLP applications"
C004,IBM Data Science Professional Certificate,Coursera,IBM,Data Science,Data Science,"python,SQL,data analysis,machine learning,data visualization",Beginner,130,4.6,700000,39,Yes,"Complete data science program from IBM covering all essential skills",ibm-data-science,"none","Analyze data with Python/SQL, build ML models, create visualizations"
C005,Google Data Analytics Certificate,Coursera,Google,Data Science,Data Analytics,"SQL,R,data analysis,tableau,spreadsheets",Beginner,180,4.8,2000000,39,Yes,"Prepare for a data analyst role with Google's professional certificate",google-data-analytics,"none","Clean and analyze data, create dashboards, use SQL and R"
C006,AWS Cloud Practitioner,Coursera,Amazon Web Services,Cloud,Cloud Computing,"AWS,cloud computing,EC2,S3,IAM",Beginner,30,4.7,500000,49,Yes,"Foundational AWS cloud knowledge for the Cloud Practitioner exam",aws-cloud-practitioner,"none","Understand AWS services, cloud concepts, security, and pricing"
C007,Microsoft Azure Fundamentals AZ-900,Coursera,Microsoft,Cloud,Cloud Computing,"Azure,cloud computing,virtual machines,networking",Beginner,24,4.6,400000,49,Yes,"Prepare for AZ-900 exam with Azure cloud fundamentals",azure-fundamentals,"none","Explain cloud concepts, Azure services, security, and compliance"
C008,Natural Language Processing Specialization,Coursera,DeepLearning.AI,AI/ML,NLP,"python,NLP,transformers,BERT,sentiment analysis,text classification",Advanced,80,4.8,300000,79,Yes,"Master NLP with attention mechanisms and transformers",nlp-specialization,"deep learning","Build NLP systems, implement attention, fine-tune transformers"
C009,MLOps Specialization,Coursera,DeepLearning.AI,AI/ML,MLOps,"python,MLOps,docker,kubernetes,CI/CD,model deployment",Advanced,60,4.7,150000,79,Yes,"Deploy scalable ML systems in production environments",mlops-spec,"machine learning,python","Deploy ML models, build CI/CD pipelines, monitor model drift"
C010,Data Engineering Professional Certificate,Coursera,IBM,Data Engineering,Data Engineering,"python,SQL,Apache Kafka,Spark,ETL,data pipelines",Intermediate,120,4.5,200000,39,Yes,"Build data pipelines and engineer large-scale data systems",ibm-data-engineering,"SQL,python","Build ETL pipelines, work with Kafka/Spark, engineer data warehouses"
C011,Python for Everybody Specialization,Coursera,University of Michigan,Programming,Python,"python,data structures,web scraping,databases",Beginner,80,4.8,2000000,49,Yes,"Learn Python programming from scratch to databases",python-everybody,"none","Write Python programs, work with data, access web APIs"
C012,Applied Data Science with Python,Coursera,University of Michigan,Data Science,Data Science,"python,matplotlib,scikit-learn,NLTK,OpenCV",Intermediate,100,4.5,400000,79,Yes,"Apply data science techniques using Python libraries",applied-ds-python,"python basics","Apply statistical analysis, ML, text mining, and social network analysis"
C013,Algorithms Specialization,Coursera,Stanford University,Computer Science,Algorithms,"algorithms,data structures,dynamic programming,graph algorithms",Intermediate,60,4.9,200000,79,Yes,"Design and analyze algorithms with Stanford's expert faculty",algorithms-stanford,"programming basics","Analyze algorithm complexity, implement graph algorithms, solve DP problems"
C014,Full Stack Web Development,Coursera,Hong Kong University,Web Development,Full Stack,"HTML,CSS,JavaScript,React,Node.js,MongoDB",Beginner,120,4.5,300000,79,Yes,"Build complete web applications from front to back end",fullstack-hku,"none","Build React apps, REST APIs, connect to databases"
C015,Blockchain Specialization,Coursera,University at Buffalo,Blockchain,Blockchain,"blockchain,Ethereum,smart contracts,Solidity,web3",Intermediate,60,4.4,150000,79,Yes,"Build decentralized applications on Ethereum",blockchain-spec,"programming basics","Write smart contracts, build DApps, understand consensus mechanisms"
C016,Cybersecurity Specialization,Coursera,University of Maryland,Cybersecurity,Security,"cybersecurity,cryptography,network security,software security",Intermediate,80,4.6,300000,79,Yes,"Comprehensive cybersecurity from software to hardware",cybersecurity-spec,"computer science basics","Identify vulnerabilities, implement security protocols, perform risk assessment"
C017,Statistics with Python Specialization,Coursera,University of Michigan,Data Science,Statistics,"python,statistics,probability,hypothesis testing,regression",Beginner,50,4.6,200000,49,Yes,"Master statistical analysis using Python",stats-python,"python basics","Apply statistical methods, run hypothesis tests, build regression models"
C018,Computer Vision,Coursera,DeepLearning.AI,AI/ML,Computer Vision,"python,computer vision,CNN,object detection,image segmentation",Advanced,40,4.7,200000,49,Yes,"Learn computer vision with deep learning techniques",computer-vision-dl,"deep learning","Implement object detection, image segmentation, and face recognition"
C019,Reinforcement Learning Specialization,Coursera,University of Alberta,AI/ML,Reinforcement Learning,"python,reinforcement learning,Q-learning,policy gradient",Advanced,80,4.7,100000,79,Yes,"Master reinforcement learning from fundamentals to deep RL",rl-spec,"machine learning","Implement RL algorithms, build agents, apply deep RL"
C020,Database Management Essentials,Coursera,University of Colorado,Databases,Databases,"SQL,database design,PostgreSQL,ER diagrams",Beginner,30,4.5,300000,49,Yes,"Learn database design and SQL fundamentals",database-mgmt,"none","Design relational databases, write SQL queries, create ER diagrams"
U001,The Complete Python Bootcamp,Udemy,Jose Portilla,Programming,Python,"python,OOP,data structures,decorators,generators",Beginner,22,4.7,1500000,15,Yes,"Most comprehensive Python course - from beginner to expert",python-bootcamp,"none","Master Python OOP, work with files, build projects"
U002,Machine Learning A-Z,Udemy,Kirill Eremenko,AI/ML,Machine Learning,"python,R,machine learning,regression,classification,clustering",Beginner,44,4.5,900000,15,Yes,"Hands-on Python & R in Data Science with real datasets",ml-az,"python basics","Build ML models, implement algorithms in Python and R"
U003,The Web Developer Bootcamp,Udemy,Colt Steele,Web Development,Full Stack,"HTML,CSS,JavaScript,Node.js,MongoDB,Express",Beginner,63,4.7,800000,15,Yes,"Complete guide to becoming a web developer",web-dev-bootcamp,"none","Build full stack web apps, work with databases, deploy to web"
U004,React - The Complete Guide,Udemy,Academind,Web Development,React,"React,Redux,Hooks,Context API,Next.js",Intermediate,48,4.7,600000,15,Yes,"Dive into React - Hooks, Redux, React Router, Next.js",react-complete,"JavaScript basics","Build React apps, manage state with Redux, use React Hooks"
U005,The Complete SQL Bootcamp,Udemy,Jose Portilla,Databases,SQL,"SQL,PostgreSQL,data analysis,joins,subqueries",Beginner,9,4.7,500000,15,Yes,"Become an expert SQL developer with PostgreSQL",sql-bootcamp,"none","Write complex SQL queries, design databases, use window functions"
U006,Docker & Kubernetes: The Complete Guide,Udemy,Stephen Grider,DevOps,DevOps,"docker,kubernetes,CI/CD,AWS,microservices",Intermediate,22,4.6,400000,15,Yes,"Build, test, and deploy Docker containers with Kubernetes",docker-k8s,"programming basics","Deploy containerized apps, orchestrate with K8s, set up CI/CD"
U007,PyTorch for Deep Learning,Udemy,Zero To Mastery,AI/ML,Deep Learning,"python,PyTorch,deep learning,neural networks,computer vision",Intermediate,43,4.7,200000,15,Yes,"Complete PyTorch deep learning bootcamp",pytorch-dl,"python,ml basics","Build neural networks with PyTorch, implement CV and NLP models"
U008,Tableau 2024 A-Z,Udemy,Kirill Eremenko,Data Science,Data Visualization,"tableau,data visualization,dashboards,analytics",Beginner,8,4.6,400000,15,Yes,"Tableau Training For Data Science with real case studies",tableau-az,"none","Create interactive dashboards, connect data sources, analyze data"
U009,Ethical Hacking Complete Course,Udemy,Nathan House,Cybersecurity,Ethical Hacking,"ethical hacking,kali linux,penetration testing,network security",Intermediate,30,4.6,300000,15,Yes,"Go from beginner to advanced in ethical hacking and penetration testing",ethical-hacking,"networking basics","Perform penetration tests, use Kali Linux tools, find vulnerabilities"
U010,Natural Language Processing,Udemy,Jose Portilla,AI/ML,NLP,"python,NLP,NLTK,spaCy,text classification,sentiment analysis",Intermediate,11,4.5,200000,15,Yes,"NLP with Python for beginners and advanced users",nlp-python,"python basics","Process text data, build NLP models, implement sentiment analysis"
U011,Apache Spark with Python - PySpark,Udemy,Frank Kane,Data Engineering,Big Data,"PySpark,Apache Spark,big data,Hadoop,data pipelines",Intermediate,14,4.5,200000,15,Yes,"Master Apache Spark with Python for big data processing",pyspark-bigdata,"python,SQL","Process big data with Spark, build streaming pipelines, optimize jobs"
U012,Kubernetes Mastery,Udemy,Bret Fisher,DevOps,Kubernetes,"kubernetes,docker,helm,microservices,cloud native",Advanced,17,4.7,150000,15,Yes,"Master Kubernetes for production container orchestration",k8s-mastery,"docker basics","Deploy to Kubernetes, use Helm charts, secure clusters"
U013,Power BI - Business Intelligence,Udemy,Maven Analytics,Data Science,Business Intelligence,"Power BI,DAX,data modeling,dashboards,Excel",Beginner,10,4.6,300000,15,Yes,"Master Power BI for business intelligence and analytics",power-bi,"none","Build Power BI reports, write DAX formulas, model data"
U014,Flutter & Dart Complete Guide,Udemy,Academind,Mobile Development,Flutter,"Flutter,Dart,mobile development,iOS,Android",Beginner,42,4.6,200000,15,Yes,"Build iOS and Android apps with Flutter and Dart",flutter-complete,"programming basics","Build cross-platform mobile apps, use Flutter widgets, connect to APIs"
U015,JavaScript: The Complete Guide,Udemy,Academind,Web Development,JavaScript,"JavaScript,ES6,async,DOM,OOP",Beginner,52,4.7,500000,15,Yes,"Modern JavaScript from the beginning to advanced concepts",js-complete,"none","Master JavaScript, use modern ES6+ features, build web applications"
G001,Google Cloud Professional Data Engineer,Google Cloud,Google,Cloud,Cloud Data Engineering,"GCP,BigQuery,Dataflow,Pub/Sub,Cloud Storage,ML APIs",Advanced,40,4.7,300000,200,Yes,"Prepare for Professional Data Engineer certification on GCP",gcp-data-engineer,"cloud basics,python","Build data pipelines on GCP, use BigQuery, implement ML on Cloud"
G002,TensorFlow: Advanced Techniques,Coursera,Google,AI/ML,TensorFlow,"tensorflow,custom layers,model optimization,TFX,TF Serving",Advanced,64,4.7,200000,79,Yes,"Advanced TensorFlow techniques for production ML",tf-advanced,"tensorflow basics","Build custom TF layers, optimize models, deploy with TF Serving"
G003,Google IT Support Professional Certificate,Coursera,Google,IT,IT Support,"networking,operating systems,system administration,security",Beginner,120,4.8,1000000,39,Yes,"Launch your IT career with Google's IT support training",google-it-support,"none","Support users, manage networks, troubleshoot systems, ensure security"
G004,Google UX Design Professional Certificate,Coursera,Google,Design,UX Design,"UX design,Figma,wireframing,prototyping,user research",Beginner,200,4.8,500000,39,Yes,"Design user experiences with Google's professional UX program",google-ux-design,"none","Create wireframes, conduct user research, build prototypes in Figma"
G005,Google Project Management Certificate,Coursera,Google,Management,Project Management,"project management,agile,scrum,risk management,Jira",Beginner,180,4.8,800000,39,Yes,"Launch a career in project management with Google",google-pm,"none","Manage projects end-to-end, apply agile/scrum, use PM tools"
I001,IBM AI Engineering Professional Certificate,Coursera,IBM,AI/ML,AI Engineering,"python,deep learning,neural networks,TensorFlow,PyTorch,scikit-learn",Intermediate,80,4.6,200000,39,Yes,"Gain skills for an AI Engineering career with IBM",ibm-ai-engineering,"machine learning,python","Build deep learning models, deploy AI apps, use TF and PyTorch"
I002,IBM Machine Learning Professional Certificate,Coursera,IBM,AI/ML,Machine Learning,"python,scikit-learn,regression,classification,clustering,deep learning",Intermediate,120,4.5,200000,39,Yes,"Develop job-ready skills for an ML career with IBM",ibm-ml,"python basics","Implement supervised/unsupervised learning, apply deep learning"
I003,IBM Full Stack Software Developer,Coursera,IBM,Web Development,Full Stack,"HTML,CSS,JavaScript,React,Node.js,Docker,Kubernetes,OpenShift",Beginner,200,4.5,300000,39,Yes,"Build and deploy full stack applications on the cloud",ibm-fullstack,"none","Build web apps, containerize with Docker, deploy to cloud"
I004,IBM Data Analyst Professional Certificate,Coursera,IBM,Data Science,Data Analytics,"python,SQL,Excel,Cognos,data visualization",Beginner,130,4.5,300000,39,Yes,"Launch your data analyst career with IBM",ibm-data-analyst,"none","Collect and analyze data, create visualizations, use SQL and Python"
A001,AWS Certified Solutions Architect,Coursera,Amazon Web Services,Cloud,AWS Architecture,"AWS,EC2,S3,RDS,VPC,Lambda,CloudFormation",Intermediate,50,4.7,400000,49,Yes,"Prepare for AWS Solutions Architect Associate certification",aws-solutions-arch,"cloud basics","Design scalable AWS architectures, secure cloud environments"
A002,AWS Machine Learning Specialty,Coursera,Amazon Web Services,Cloud,AWS ML,"AWS SageMaker,ML on AWS,data engineering,modeling,deployment",Advanced,40,4.6,100000,49,Yes,"Prepare for AWS ML Specialty certification",aws-ml-specialty,"machine learning,AWS","Deploy ML models on SageMaker, build data pipelines on AWS"
A003,AWS Developer Associate,Udemy,Stephane Maarek,Cloud,AWS Development,"AWS,Lambda,DynamoDB,API Gateway,CloudFormation,SAM",Intermediate,30,4.7,300000,15,Yes,"Prepare for AWS Developer Associate certification",aws-developer,"programming basics","Build serverless apps on AWS, use DynamoDB, deploy with CloudFormation"
M001,Microsoft Azure Data Scientist,Coursera,Microsoft,Cloud,Azure ML,"Azure ML,python,machine learning,MLOps,Azure Databricks",Intermediate,50,4.6,100000,49,Yes,"Prepare for Azure Data Scientist Associate certification",azure-data-scientist,"machine learning,Azure","Build ML models on Azure, use Azure ML Studio, implement MLOps"
M002,Microsoft Power Platform Fundamentals,Coursera,Microsoft,Business Tech,Power Platform,"Power Apps,Power Automate,Power BI,Dataverse",Beginner,30,4.5,200000,49,Yes,"Build business applications with Microsoft Power Platform",power-platform,"none","Create Power Apps, automate workflows, analyze data with Power BI"
M003,Microsoft Azure DevOps Engineer,Udemy,Scott Duffy,Cloud,DevOps,"Azure DevOps,CI/CD,Git,pipelines,containers,Kubernetes",Intermediate,25,4.6,150000,15,Yes,"Prepare for AZ-400 Azure DevOps Engineer certification",azure-devops,"DevOps basics","Build CI/CD pipelines in Azure DevOps, manage containers"
D001,Data Structures and Algorithms in Python,Udemy,Zero To Mastery,Computer Science,DSA,"python,algorithms,data structures,problem solving,LeetCode",Intermediate,30,4.7,300000,15,Yes,"Master data structures and algorithms for technical interviews",dsa-python,"python basics","Implement arrays, trees, graphs, sorting, and dynamic programming"
D002,Statistical Learning,Coursera,Stanford University,Data Science,Statistics,"R,statistics,regression,classification,tree methods",Advanced,60,4.8,200000,0,Yes,"Statistical methods for supervised and unsupervised learning",statistical-learning,"statistics basics","Apply statistical learning methods, understand theoretical foundations"
D003,Generative AI with Large Language Models,Coursera,DeepLearning.AI,AI/ML,Generative AI,"LLMs,transformers,prompt engineering,fine-tuning,RLHF",Intermediate,16,4.8,500000,49,Yes,"Understand the fundamentals of generative AI and LLMs",gen-ai-llms,"deep learning basics","Fine-tune LLMs, apply prompt engineering, understand RLHF"
D004,LangChain for LLM Application Development,Coursera,DeepLearning.AI,AI/ML,LLM Apps,"LangChain,python,LLMs,RAG,agents,chains",Intermediate,10,4.7,300000,49,Yes,"Build LLM-powered applications with LangChain",langchain-dev,"python,LLM basics","Build chains, agents, RAG systems with LangChain"
D005,Prompt Engineering for Developers,Coursera,DeepLearning.AI,AI/ML,Prompt Engineering,"prompt engineering,OpenAI API,ChatGPT,LLMs",Beginner,9,4.8,400000,0,Yes,"Learn prompt engineering techniques for LLM applications",prompt-engineering,"none","Write effective prompts, use OpenAI API, build LLM apps"
D006,Finetuning Large Language Models,Coursera,DeepLearning.AI,AI/ML,LLM Fine-tuning,"LLMs,fine-tuning,LoRA,QLoRA,Hugging Face",Advanced,9,4.7,200000,49,Yes,"Fine-tune open-source LLMs for custom applications",llm-finetuning,"deep learning,transformers","Fine-tune LLMs, apply LoRA/QLoRA, evaluate fine-tuned models"
D007,Building Generative AI Applications,Coursera,AWS,AI/ML,Generative AI,"AWS Bedrock,LLMs,generative AI,RAG,agents",Intermediate,16,4.6,200000,49,Yes,"Build and deploy generative AI applications on AWS",gen-ai-aws,"AWS basics","Deploy LLMs on AWS Bedrock, build RAG systems, create AI agents"
D008,AI for Everyone,Coursera,DeepLearning.AI,AI/ML,AI Literacy,"AI concepts,machine learning,strategy,ethics",Beginner,6,4.8,1000000,49,Yes,"Understand AI for business and society - non-technical",ai-for-everyone,"none","Understand AI capabilities, navigate AI projects, apply AI strategy"
D009,Vector Databases and Embeddings,Udemy,DataCamp,AI/ML,Vector Databases,"vector databases,embeddings,Pinecone,Weaviate,semantic search",Intermediate,12,4.6,100000,15,Yes,"Master vector databases for AI and ML applications",vector-db,"python,ML basics","Store and query embeddings, build semantic search, use Pinecone"
D010,MLflow for ML Lifecycle Management,Udemy,DataCamp,AI/ML,MLOps,"MLflow,experiment tracking,model registry,deployment",Intermediate,8,4.5,80000,15,Yes,"Manage the complete ML lifecycle with MLflow",mlflow,"machine learning","Track experiments, register models, deploy with MLflow"
W001,React Native - The Practical Guide,Udemy,Academind,Mobile Development,React Native,"React Native,JavaScript,iOS,Android,Expo",Intermediate,29,4.6,200000,15,Yes,"Build native iOS and Android apps with React Native",react-native,"React basics","Build mobile apps, use device features, publish to app stores"
W002,Next.js 14 Complete Course,Udemy,Traversy Media,Web Development,Next.js,"Next.js,React,TypeScript,server components,App Router",Intermediate,15,4.7,150000,15,Yes,"Master Next.js 14 with App Router, Server Components, and TypeScript",nextjs-14,"React basics","Build full-stack Next.js apps, use server components, optimize performance"
